symbol,atomic_number,boil,density,electron_affinity,electronegativity,element,group,heat,ionization_energy_1,ionization_energy_10,ionization_energy_11,ionization_energy_12,ionization_energy_13,ionization_energy_14,ionization_energy_15,ionization_energy_16,ionization_energy_17,ionization_energy_18,ionization_energy_19,ionization_energy_2,ionization_energy_20,ionization_energy_21,ionization_energy_22,ionization_energy_23,ionization_energy_24,ionization_energy_25,ionization_energy_26,ionization_energy_27,ionization_energy_28,ionization_energy_29,ionization_energy_3,ionization_energy_30,ionization_energy_4,ionization_energy_5,ionization_energy_6,ionization_energy_7,ionization_energy_8,ionization_energy_9,melt,name,period,radius_calc,radius_emp,radius_vdw,radius_covalent,radius_covalent_trip
Sc,21,3109.0,2.989,0.188,1.36,Scandium,3.0,0.568,633.1,21726.0,24102.0,66320.0,73010.0,80160.0,89490.0,97400.0,105600.0,117000.0,124270.0,1235.0,547530.0,582163.0,,,,,,,,,2388.6,,7090.6,8843.0,10679.0,13310.0,15250.0,17370.0,1814.0,scandium,4.0,184.0,160.0,211.0,144.0,114.0
Ti,22,3560.0,4.54,0.084,1.54,Titanium,4.0,0.523,658.8,20833.0,25575.0,28125.0,76015.0,83280.0,90880.0,100700.0,109100.0,117800.0,129900.0,1309.8,137530.0,602930.0,639294.0,,,,,,,,2652.5,,4174.6,9581.0,11533.0,13590.0,16440.0,18530.0,1941.0,titanium,4.0,176.0,140.0,,136.0,108.0
V,23,3680.0,6.11,0.526,1.63,Vanadium,5.0,0.489,650.9,22240.0,24670.0,29730.0,32446.0,86450.0,94170.0,102300.0,112700.0,121600.0,130700.0,1414.0,143400.0,151440.0,661050.0,699144.0,,,,,,,2830.0,,4507.0,6298.7,12363.0,14530.0,16730.0,19860.0,2183.0,vanadium,4.0,171.0,135.0,,125.0,106.0
Cr,24,2944.0,7.15,0.67584,1.66,Chromium,6.0,0.449,652.9,23580.0,26130.0,28750.0,34230.0,37066.0,97510.0,105800.0,114300.0,125300.0,134700.0,1590.6,144300.0,157700.0,166090.0,721870.0,761733.0,,,,,,2987.0,,4743.0,6702.0,8744.9,15455.0,17820.0,20190.0,2180.0,chromium,4.0,166.0,140.0,,127.0,103.0
Mn,25,2334.0,7.44,-1.0,1.55,Manganese,7.0,0.479,717.3,23960.0,27590.0,30330.0,33150.0,38880.0,41987.0,109480.0,118100.0,127100.0,138600.0,1509.0,148500.0,158600.0,172500.0,181380.0,785450.0,827067.0,,,,,3248.0,,4940.0,6990.0,9220.0,11500.0,18770.0,21400.0,1519.0,manganese,4.0,161.0,140.0,,139.0,103.0
Fe,26,3134.0,7.874,0.151,1.83,Iron,8.0,0.449,762.5,25290.0,28000.0,31920.0,34830.0,37840.0,44100.0,47206.0,122200.0,131000.0,140500.0,1561.9,152600.0,163000.0,173600.0,188100.0,195200.0,851800.0,895161.0,,,,2957.0,,5290.0,7240.0,9560.0,12060.0,14580.0,22540.0,1811.0,iron,4.0,156.0,140.0,,125.0,102.0
Co,27,3200.0,8.86,0.6633,1.88,Cobalt,9.0,0.421,760.4,26570.0,29400.0,32400.0,36600.0,39700.0,42800.0,49396.0,52737.0,134810.0,145170.0,1648.0,154700.0,167400.0,178100.0,189300.0,204500.0,214100.0,920870.0,966023.0,,,3232.0,,4950.0,7670.0,9840.0,12440.0,15230.0,17959.0,1768.0,cobalt,4.0,152.0,135.0,,126.0,96.0
Ni,28,3186.0,8.912,1.15716,1.91,Nickel,10.0,0.444,737.1,21670.0,30970.0,34000.0,37100.0,41500.0,44800.0,48100.0,55101.0,58570.0,148700.0,1753.0,159000.0,169400.0,182700.0,194000.0,205600.0,221400.0,231490.0,992718.0,1039668.0,,3395.0,,5300.0,7339.0,10400.0,12800.0,15600.0,18600.0,1728.0,nickel,4.0,149.0,135.0,163.0,121.0,101.0
Cu,29,2835.0,8.96,1.23578,1.9,Copper,11.0,0.385,745.5,22400.0,25600.0,35600.0,38700.0,42000.0,46700.0,50200.0,53700.0,61100.0,64702.0,1957.9,163700.0,174100.0,184900.0,198800.0,210500.0,222700.0,239100.0,249660.0,1067358.0,1116105.0,3555.0,,5536.0,7700.0,9900.0,13400.0,16000.0,19200.0,1357.77,copper,4.0,145.0,135.0,140.0,138.0,120.0
Zn,30,1180.0,7.134,,1.65,Zinc,12.0,0.388,906.4,23000.0,26400.0,29990.0,40490.0,43800.0,47300.0,52300.0,55900.0,59700.0,67300.0,1733.3,71200.0,179100.0,,,,,,,,,3833.0,,5731.0,7970.0,10400.0,12900.0,16800.0,19600.0,692.88,zinc,4.0,142.0,135.0,139.0,131.0,
Ga,31,2477.0,5.907,0.43,1.81,Gallium,13.0,0.371,578.8,,,,,,,,,,,1979.3,,,,,,,,,,,2963.0,,6180.0,,,,,,302.9146,gallium,4.0,136.0,130.0,187.0,126.0,121.0
Ge,32,3106.0,5.323,1.2326764,2.01,Germanium,14.0,0.32,762.0,,,,,,,,,,,1537.5,,,,,,,,,,,3302.1,,4411.0,9020.0,,,,,1211.4,germanium,4.0,125.0,125.0,211.0,122.0,114.0
As,33,887.0,5.776,0.8048,2.18,Arsenic,15.0,0.329,947.0,,,,,,,,,,,1798.0,,,,,,,,,,,2735.0,,4837.0,6043.0,12310.0,,,,1090.0,arsenic,4.0,114.0,115.0,185.0,119.0,106.0
Se,34,958.0,4.809,2.0206046,2.55,Selenium,16.0,0.321,941.0,,,,,,,,,,,2045.0,,,,,,,,,,,2973.7,,4144.0,6590.0,7880.0,14990.0,,,453.0,selenium,4.0,103.0,115.0,190.0,116.0,107.0
Br,35,332.0,3.122,3.36359,2.96,Bromine,17.0,0.474,1139.9,,,,,,,,,,,2103.0,,,,,,,,,,,3470.0,,4560.0,5760.0,8550.0,9940.0,18600.0,,265.8,bromine,4.0,94.0,115.0,185.0,114.0,110.0
Kr,36,119.93,0.003733,,3.0,Krypton,18.0,0.248,1350.8,25880.0,29700.0,33800.0,37700.0,43100.0,47500.0,52200.0,57100.0,61800.0,75800.0,2350.4,80400.0,85300.0,90400.0,96300.0,101400.0,111100.0,116290.0,282500.0,296200.0,311400.0,3565.0,326200.0,5070.0,6240.0,7570.0,10710.0,12138.0,22274.0,115.79,krypton,4.0,88.0,88.0,202.0,110.0,108.0
Rb,37,961.0,1.532,0.485916,0.82,Rubidium,1.0,0.363,403.0,26740.0,,,,,,,,,,2633.0,,,,,,,,,,,3860.0,,5080.0,6850.0,8140.0,9570.0,13120.0,14500.0,312.46,rubidium,5.0,265.0,235.0,303.0,211.0,
Sr,38,1655.0,2.64,0.05206,0.95,Strontium,2.0,0.301,549.5,17100.0,31270.0,,,,,,,,,1064.2,,,,,,,,,,,4138.0,,5500.0,6910.0,8760.0,10230.0,11800.0,15600.0,1050.0,strontium,5.0,219.0,200.0,249.0,192.0,139.0
Y,39,3609.0,4.469,0.307,1.22,Yttrium,3.0,0.298,600.0,18400.0,19900.0,36090.0,,,,,,,,1180.0,,,,,,,,,,,1980.0,,5847.0,7430.0,8970.0,11190.0,12450.0,14110.0,1799.0,yttrium,5.0,212.0,180.0,,162.0,124.0
Zr,40,4682.0,6.506,0.427,1.33,Zirconium,4.0,0.278,640.1,,,,,,,,,,,1270.0,,,,,,,,,,,2218.0,,3313.0,7752.0,9500.0,,,,2128.0,zirconium,5.0,206.0,155.0,,148.0,121.0
Nb,41,5017.0,8.57,0.894,1.6,Niobium,5.0,0.265,652.1,,,,,,,,,,,1380.0,,,,,,,,,,,2416.0,,3700.0,4877.0,9847.0,12100.0,,,2750.0,niobium,5.0,198.0,145.0,,137.0,116.0
Mo,42,4912.0,10.22,0.7473,2.16,Molybdenum,6.0,0.251,684.3,17980.0,20190.0,22219.0,26930.0,29196.0,52490.0,55000.0,61400.0,67700.0,74000.0,1560.0,80400.0,87000.0,93400.0,98420.0,104400.0,121900.0,127700.0,133800.0,139800.0,148100.0,2618.0,154500.0,4480.0,5257.0,6640.8,12125.0,13860.0,15835.0,2896.0,molybdenum,5.0,190.0,145.0,,145.0,113.0
Tc,43,4538.0,11.5,,1.9,Technetium,7.0,,702.0,,,,,,,,,,,1470.0,,,,,,,,,,,2850.0,,,,,,,,2430.0,technetium,5.0,183.0,135.0,,156.0,110.0
Ru,44,4423.0,12.37,1.04638,2.2,Ruthenium,8.0,0.238,710.2,,,,,,,,,,,1620.0,,,,,,,,,,,2747.0,,,,,,,,2607.0,ruthenium,5.0,178.0,130.0,,126.0,103.0
Rh,45,3968.0,12.41,1.14289,2.28,Rhodium,9.0,0.243,719.7,,,,,,,,,,,1740.0,,,,,,,,,,,2997.0,,,,,,,,2237.0,rhodium,5.0,173.0,135.0,,135.0,106.0
